name,country_id,country_code,country_name
Ngozi,36,BI,Burundi
Rumonge,36,BI,Burundi
Rutana,36,BI,Burundi
Ruyigi,36,BI,Burundi
Banteay Meanchey,37,KH,Cambodia
Battambang,37,KH,Cambodia
Kampong Cham,37,KH,Cambodia
Kampong Chhnang,37,KH,Cambodia
Kampong Speu,37,KH,Cambodia
Kampong Thom,37,KH,Cambodia
Kampot,37,KH,Cambodia
Kandal,37,KH,Cambodia
Kep,37,KH,Cambodia
Koh Kong,37,KH,Cambodia
Kratie,37,KH,Cambodia
Mondulkiri,37,KH,Cambodia
Oddar Meanchey,37,KH,Cambodia
Pailin,37,KH,Cambodia
Phnom Penh,37,KH,Cambodia
Preah Vihear,37,KH,Cambodia
Prey Veng,37,KH,Cambodia
Pursat,37,KH,Cambodia
Ratanakiri,37,KH,Cambodia
Siem Reap,37,KH,Cambodia
Sihanoukville,37,KH,Cambodia
Stung Treng,37,KH,Cambodia
Svay Rieng,37,KH,Cambodia
Takeo,37,KH,Cambodia
Tboung Khmum,37,KH,Cambodia
Adamawa,38,CM,Cameroon
Centre,38,CM,Cameroon
East,38,CM,Cameroon
Far North,38,CM,Cameroon
Littoral,38,CM,Cameroon
North,38,CM,Cameroon
Northwest,38,CM,Cameroon
South,38,CM,Cameroon
Southwest,38,CM,Cameroon
West,38,CM,Cameroon
lberta,39,CA,Canada
ritish Columbia,39,CA,Canada
anitoba,39,CA,Canada
ew Brunswick,39,CA,Canada
ewfoundland and Labrador,39,CA,Canada
orthwest Territories,39,CA,Canada
ova Scotia,39,CA,Canada
unavut,39,CA,Canada
ntario,39,CA,Canada
rince Edward Island,39,CA,Canada
uebec,39,CA,Canada
askatchewan,39,CA,Canada
ukon,39,CA,Canada
Barlavento Islands,40,CV,Cape Verde
Boa Vista,40,CV,Cape Verde
Brava,40,CV,Cape Verde
Maio,40,CV,Cape Verde
Mosteiros,40,CV,Cape Verde
Paul,40,CV,Cape Verde
Porto Novo,40,CV,Cape Verde
Praia,40,CV,Cape Verde
Ribeira Brava,40,CV,Cape Verde
Ribeira Grande,40,CV,Cape Verde
Ribeira Grande de Santiago,40,CV,Cape Verde
Sal,40,CV,Cape Verde
Santa Catarina,40,CV,Cape Verde
Santa Catarina do Fogo,40,CV,Cape Verde
Santa Cruz,40,CV,Cape Verde
São Domingos,40,CV,Cape Verde
São Filipe,40,CV,Cape Verde
São Lourenço dos Órgãos,40,CV,Cape Verde
São Miguel,40,CV,Cape Verde
São Salvador do Mundo,40,CV,Cape Verde
São Vicente,40,CV,Cape Verde
Sotavento Islands,40,CV,Cape Verde
Tarrafal,40,CV,Cape Verde
Tarrafal de São Nicolau,40,CV,Cape Verde
Cayman Brac,41,KY,Cayman Islands
Grand Cayman,41,KY,Cayman Islands
Little Cayman,41,KY,Cayman Islands
Bamingui-Bangoran,42,CF,Central African Republic
Bangui,42,CF,Central African Republic
Basse-Kotto,42,CF,Central African Republic
Haut-Mbomou,42,CF,Central African Republic
Haute-Kotto,42,CF,Central African Republic
Kémo,42,CF,Central African Republic
Lobaye,42,CF,Central African Republic
Mambéré-Kadéï,42,CF,Central African Republic
Mbomou,42,CF,Central African Republic
Nana-Grébizi,42,CF,Central African Republic
Nana-Mambéré,42,CF,Central African Republic
Ombella-M'Poko,42,CF,Central African Republic
Ouaka,42,CF,Central African Republic
Ouham,42,CF,Central African Republic
Ouham-Pendé,42,CF,Central African Republic
Sangha-Mbaéré,42,CF,Central African Republic
Vakaga,42,CF,Central African Republic
Bahr el Gazel,43,TD,Chad
Batha,43,TD,Chad
Borkou,43,TD,Chad
Chari-Baguirmi,43,TD,Chad
Ennedi-Est,43,TD,Chad
Ennedi-Ouest,43,TD,Chad
Guéra,43,TD,Chad
Hadjer-Lamis,43,TD,Chad
Kanem,43,TD,Chad
Lac,43,TD,Chad
Logone Occidental,43,TD,Chad
Logone Oriental,43,TD,Chad
Mandoul,43,TD,Chad
Mayo-Kebbi Est,43,TD,Chad
Mayo-Kebbi Ouest,43,TD,Chad
Moyen-Chari,43,TD,Chad
N'Djamena,43,TD,Chad
Ouaddaï,43,TD,Chad
Salamat,43,TD,Chad
Sila,43,TD,Chad
Tandjilé,43,TD,Chad
Tibesti,43,TD,Chad
Wadi Fira,43,TD,Chad
Aisén del General Carlos Ibañez del Campo,44,CL,Chile
Antofagasta,44,CL,Chile
Arica y Parinacota,44,CL,Chile
Atacama,44,CL,Chile
Biobío,44,CL,Chile
Coquimbo,44,CL,Chile
La Araucanía,44,CL,Chile
Libertador General Bernardo O'Higgins,44,CL,Chile
Los Lagos,44,CL,Chile
Los Ríos,44,CL,Chile
Magallanes y de la Antártica Chilena,44,CL,Chile
Maule,44,CL,Chile
Ñuble,44,CL,Chile
Región Metropolitana de Santiago,44,CL,Chile
Tarapacá,44,CL,Chile
Valparaíso,44,CL,Chile
Anhui,45,CN,China
Beijing,45,CN,China
Chongqing,45,CN,China
Fujian,45,CN,China
Gansu,45,CN,China
Guangdong,45,CN,China
Guangxi,45,CN,China
Guizhou,45,CN,China
Hainan,45,CN,China
Hebei,45,CN,China
Heilongjiang,45,CN,China
Henan,45,CN,China
Hong Kong SAR,45,CN,China
Hubei,45,CN,China
Hunan,45,CN,China
Inner Mongolia,45,CN,China
Jiangsu,45,CN,China
Jiangxi,45,CN,China
Jilin,45,CN,China
Liaoning,45,CN,China
Macau SAR,45,CN,China
Ningxia,45,CN,China
Qinghai,45,CN,China
Shaanxi,45,CN,China
Shandong,45,CN,China
Shanghai,45,CN,China
Shanxi,45,CN,China
Sichuan,45,CN,China
Taiwan,45,CN,China
Tianjin,45,CN,China
Tibet,45,CN,China
Xinjiang,45,CN,China
Yunnan,45,CN,China
Zhejiang,45,CN,China
